target
21ur-1334
21ur-15622
21ur-15671
21ur-278
21ur-5163
21ur-8543
aat-3
acl-12
acs-11
acs-19
aldo-1
arrd-24
asd-1
bir-2
btb-5
C01G10.7
C01G6.3
C03D6.1
C27H6.9
C31C9.2
C33A11.2
C34D10.2
C45B2.2
C49F5.8
C50F4.16
C54G10.4
C56A3.4
C56C10.10
cblc-1
cdo-1
ced-9
cks-1
col-176
col-78
cpr-1
cyp-31A5
cysl-1
cysl-2
cysl-3
dhs-8
dnj-18
dpy-17
dyf-3
efk-1
efsc-1
egl-9
enol-1
ethe-1
ets-5
F15A4.10
F21C10.10
F22B5.4
F26F4.6
F26H9.5
F29C6.1
F30B5.4
F32E10.5
F33G12.2
F40E3.7
F41E6.5
F46C5.1
F47G3.3
F53H2.3
F54C8.4
F54D8.6
F56D2.2
F57A10.4
F57B9.1
F57G4.9
fbp-1
flh-1
flh-3
flt-1
fut-3
gale-1
gbh-2
gcy-33
glb-1
gln-5
gmeb-1
gpd-1
gpd-2
gpd-3
gst-16
gst-19
gsy-1
H12D21.6
H28G03.2
H37A05.4
H40L08.2
hda-2
ikke-1
ipgm-1
jmjd-2
K03A11.1
K04F10.1
K07A1.15
K10H10.14
K11G12.5
K11G12.6
ldh-1
lgc-1
lips-16
lsd-1
M01H9.3
M01H9.6
M05D6.5
M05D6.6
M60.2
M60.4
M7.8
mai-1
mce-1
mdh-1
mei-1
mei-2
mmcm-1
mom-2
mpst-2
mpst-3
mut-2
nas-28
nfya-1
nhr-11
nhr-2
nhr-21
nhr-57
nit-1
nspe-1
nspe-2
nspe-3
nspe-4
nspe-5
nspe-6
nspe-7
nth-1
oac-54
pamn-1
pcca-1
pccb-1
pck-1
phat-5
phy-2
pkc-3
psf-3
R03G8.4
R08E5.1
R08E5.3
R144.6
rbr-2
rfc-4
rhy-1
rmd-1
sax-2
scl-19
sdha-1
sdhd-1
set-1
skn-1
skr-10
smf-1
sodh-1
spp-9
sqrd-1
srh-17
srw-67
sulp-4
sulp-7
T04A8.7
T04A8.8
T05B4.13
T05B4.4
T05F1.2
T05F1.4
T09F3.5
T16A9.1
T18D3.1
T24C2.2
T27A8.2
T27E4.7
tag-276
tpi-1
tps-2
try-1
try-5
tts-1
uev-3
unc-71
vps-53
W03C9.2
W07A12.4
W08E12.8
W09D6.1
wee-1.2
Y10G11A.1
Y10G11A.91
Y111B2A.10
Y11D7A.10
Y11D7A.7
Y17G7B.10
Y17G9B.5
Y32F6B.8
Y38E10A.28
Y38E10A.9
Y39H10A.1
Y57A10A.26
Y5F2A.4
Y62E10A.13
Y73B6BL.4
Y77E11A.1
ZC308.4
ZC53.1
ZK1073.1
ZK550.6
ZK970.7
ztf-20
